# From state ; symbol ; to state
START ; emoji_character_phone_key ; emoji_character_phone_key
START ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator|emoji_charactermdefault_emoji_presentation_charactermemoji_modifier_basemphone_key ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
START ; emoji_character_default_emoji_presentation_character_emoji_modifier_base|emoji_character_emoji_modifier_basemdefault_emoji_presentation_character ; emoji_character_default_emoji_presentation_character_emoji_modifier_base
START ; emoji_character_default_emoji_presentation_character_regional_indicator ; emoji_character_default_emoji_presentation_character_regional_indicator
START ; emoji_character_default_emoji_presentation_character_emoji_modifier ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
emoji_character_phone_key default_text_presentation_character_zwj ; emoji_character_phone_key ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
emoji_character_phone_key default_text_presentation_character_zwj ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator|emoji_charactermdefault_emoji_presentation_charactermemoji_modifier_basemphone_key ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
emoji_character_phone_key default_text_presentation_character_zwj ; emoji_character_default_emoji_presentation_character_emoji_modifier_base|emoji_character_emoji_modifier_basemdefault_emoji_presentation_character ; emoji_character_default_emoji_presentation_character_emoji_modifier_base
emoji_character_phone_key default_text_presentation_character_zwj ; emoji_character_default_emoji_presentation_character_regional_indicator ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
emoji_character_phone_key default_text_presentation_character_zwj ; emoji_character_default_emoji_presentation_character_emoji_modifier ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator
emoji_character_phone_key default_text_presentation_character_tag_spec_character ; default_text_presentation_character_tag_spec_character ; emoji_character_phone_key default_text_presentation_character_tag_spec_character
emoji_character_phone_key default_text_presentation_character_tag_spec_character ; default_text_presentation_character_tag_end ; emoji_character_phone_key default_text_presentation_character_tag_spec_character default_text_presentation_character_tag_end
emoji_character_phone_key ; default_text_presentation_character_zwj ; emoji_character_phone_key default_text_presentation_character_zwj
emoji_character_phone_key ; default_text_presentation_character_emoji_presentation_selector ; emoji_character_phone_key default_text_presentation_character_emoji_presentation_selector
emoji_character_phone_key ; default_text_presentation_character_tag_spec_character ; emoji_character_phone_key default_text_presentation_character_tag_spec_character
emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator ; default_text_presentation_character_zwj ; emoji_character_phone_key default_text_presentation_character_zwj
emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator ; default_text_presentation_character_emoji_presentation_selector ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator default_text_presentation_character_emoji_presentation_selector
emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator ; default_text_presentation_character_tag_spec_character ; emoji_character_phone_key default_text_presentation_character_tag_spec_character
emoji_character_default_emoji_presentation_character_emoji_modifier_base ; default_text_presentation_character_zwj ; emoji_character_phone_key default_text_presentation_character_zwj
emoji_character_default_emoji_presentation_character_emoji_modifier_base ; default_text_presentation_character_emoji_presentation_selector ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator default_text_presentation_character_emoji_presentation_selector
emoji_character_default_emoji_presentation_character_emoji_modifier_base ; emoji_character_default_emoji_presentation_character_emoji_modifier ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator default_text_presentation_character_emoji_presentation_selector
emoji_character_default_emoji_presentation_character_emoji_modifier_base ; default_text_presentation_character_tag_spec_character ; emoji_character_phone_key default_text_presentation_character_tag_spec_character
emoji_character_default_emoji_presentation_character_regional_indicator ; default_text_presentation_character_zwj ; emoji_character_phone_key default_text_presentation_character_zwj
emoji_character_default_emoji_presentation_character_regional_indicator ; default_text_presentation_character_emoji_presentation_selector ; emoji_character_default_emoji_presentation_charactermemoji_modifiermemoji_modifier_basemregional_indicator default_text_presentation_character_emoji_presentation_selector
emoji_character_default_emoji_presentation_character_regional_indicator ; emoji_character_default_emoji_presentation_character_regional_indicator ; emoji_character_default_emoji_presentation_character_regional_indicator emoji_character_default_emoji_presentation_character_regional_indicator
emoji_character_default_emoji_presentation_character_regional_indicator ; default_text_presentation_character_tag_spec_character ; emoji_character_phone_key default_text_presentation_character_tag_spec_character
emoji_character_phone_key default_text_presentation_character_emoji_presentation_selector ; default_text_presentation_character_zwj ; emoji_character_phone_key default_text_presentation_character_zwj
