# Class name ; Class definition in UnicodeSet notation
Control ; [\p{Grapheme_Cluster_Break=Control}]
LF ; [\p{Grapheme_Cluster_Break=LF}]
CR ; [\p{Grapheme_Cluster_Break=CR}]
XXmLinkingConsonantmExtPict ; [\p{Grapheme_Cluster_Break=Other}-\p{Indic_Conjunct_Break=Consonant}-\p{Extended_Pictographic=True}]
ExtPict ; [\p{Extended_Pictographic=True}]
UNIDENTIFIED-8 ; [[\u0300-\u034E\u0350-\u036F\u0483-\u0487\u0591-\u05BD\u05BF\u05C1\u05C2\u05C4\u05C5\u05C7\u0610-\u061A\u064B-\u065F\u0670\u06D6-\u06DC\u06DF-\u06E4\u06E7\u06E8\u06EA-\u06ED\u0711\u0730-\u074A\u07EB-\u07F3\u07FD\u0816-\u0819\u081B-\u0823\u0825-\u0827\u0829-\u082D\u0859-\u085B\u0898-\u089F\u08CA-\u08E1\u08E3-\u08FF\u093C\u0951-\u0954\u09BC\u09FE\u0A3C\u0A4D\u0ABC\u0B3C\u0BCD\u0C3C\u0C55\u0C56\u0CBC\u0CCD\u0D3B\u0D3C\u0DCA\u0E38-\u0E3A\u0E48-\u0E4B\u0EB8-\u0EBA\u0EC8-\u0ECB\u0F18\u0F19\u0F35\u0F37\u0F39\u0F71\u0F72\u0F74\u0F7A-\u0F7D\u0F80\u0F82-\u0F84\u0F86\u0F87\u0FC6\u1037\u1039\u103A\u108D\u135D-\u135F\u1714\u17D2\u17DD\u18A9\u1939-\u193B\u1A17\u1A18\u1A60\u1A75-\u1A7C\u1A7F\u1AB0-\u1ABD\u1ABF-\u1ACE\u1B34\u1B6B-\u1B73\u1BAB\u1BE6\u1C37\u1CD0-\u1CD2\u1CD4-\u1CE0\u1CE2-\u1CE8\u1CED\u1CF4\u1CF8\u1CF9\u1DC0-\u1DFF\u20D0-\u20DC\u20E1\u20E5-\u20F0\u2CEF-\u2CF1\u2D7F\u2DE0-\u2DFF\u302A-\u302F\u3099\u309A\uA66F\uA674-\uA67D\uA69E\uA69F\uA6F0\uA6F1\uA806\uA82C\uA8C4\uA8E0-\uA8F1\uA92B-\uA92D\uA9B3\uAAB0\uAAB2-\uAAB4\uAAB7\uAAB8\uAABE\uAABF\uAAC1\uAAF6\uABED\uFB1E\uFE20-\uFE2F\U000101FD\U000102E0\U00010376-\U0001037A\U00010A0D\U00010A0F\U00010A38-\U00010A3A\U00010A3F\U00010AE5\U00010AE6\U00010D24-\U00010D27\U00010EAB\U00010EAC\U00010EFD-\U00010EFF\U00010F46-\U00010F50\U00010F82-\U00010F85\U00011046\U00011070\U0001107F\U000110B9\U000110BA\U00011100-\U00011102\U00011133\U00011134\U00011173\U000111CA\U00011236\U000112E9\U000112EA\U0001133B\U0001133C\U00011366-\U0001136C\U00011370-\U00011374\U00011442\U00011446\U0001145E\U000114C2\U000114C3\U000115BF\U000115C0\U0001163F\U000116B7\U0001172B\U00011839\U0001183A\U0001193E\U00011943\U000119E0\U00011A34\U00011A47\U00011A99\U00011C3F\U00011D42\U00011D44\U00011D45\U00011D97\U00011F42\U00016AF0-\U00016AF4\U00016B30-\U00016B36\U0001BC9E\U0001D165\U0001D167-\U0001D169\U0001D16E-\U0001D172\U0001D17B-\U0001D182\U0001D185-\U0001D18B\U0001D1AA-\U0001D1AD\U0001D242-\U0001D244\U0001E000-\U0001E006\U0001E008-\U0001E018\U0001E01B-\U0001E021\U0001E023\U0001E024\U0001E026-\U0001E02A\U0001E08F\U0001E130-\U0001E136\U0001E2AE\U0001E2EC-\U0001E2EF\U0001E4EC-\U0001E4EF\U0001E8D0-\U0001E8D6\U0001E944-\U0001E94A]]
UNIDENTIFIED-9 ; [[\u034F\u0488\u0489\u07A6-\u07B0\u0900-\u0902\u093A\u0941-\u0948\u0955-\u0957\u0962\u0963\u0981\u09BE\u09C1-\u09C4\u09D7\u09E2\u09E3\u0A01\u0A02\u0A41\u0A42\u0A47\u0A48\u0A4B\u0A4C\u0A51\u0A70\u0A71\u0A75\u0A81\u0A82\u0AC1-\u0AC5\u0AC7\u0AC8\u0AE2\u0AE3\u0AFA-\u0AFF\u0B01\u0B3E\u0B3F\u0B41-\u0B44\u0B55-\u0B57\u0B62\u0B63\u0B82\u0BBE\u0BC0\u0BD7\u0C00\u0C04\u0C3E-\u0C40\u0C46-\u0C48\u0C4A-\u0C4C\u0C62\u0C63\u0C81\u0CBF\u0CC2\u0CC6\u0CCC\u0CD5\u0CD6\u0CE2\u0CE3\u0D00\u0D01\u0D3E\u0D41-\u0D44\u0D57\u0D62\u0D63\u0D81\u0DCF\u0DD2-\u0DD4\u0DD6\u0DDF\u0E31\u0E34-\u0E37\u0E47\u0E4C-\u0E4E\u0EB1\u0EB4-\u0EB7\u0EBB\u0EBC\u0ECC-\u0ECE\u0F73\u0F75-\u0F79\u0F7E\u0F81\u0F8D-\u0F97\u0F99-\u0FBC\u102D-\u1030\u1032-\u1036\u103D\u103E\u1058\u1059\u105E-\u1060\u1071-\u1074\u1082\u1085\u1086\u109D\u1712\u1713\u1732\u1733\u1752\u1753\u1772\u1773\u17B4\u17B5\u17B7-\u17BD\u17C6\u17C9-\u17D1\u17D3\u180B-\u180D\u180F\u1885\u1886\u1920-\u1922\u1927\u1928\u1932\u1A1B\u1A56\u1A58-\u1A5E\u1A62\u1A65-\u1A6C\u1A73\u1A74\u1ABE\u1B00-\u1B03\u1B35-\u1B3A\u1B3C\u1B42\u1B80\u1B81\u1BA2-\u1BA5\u1BA8\u1BA9\u1BAC\u1BAD\u1BE8\u1BE9\u1BED\u1BEF-\u1BF1\u1C2C-\u1C33\u1C36\u200C\u20DD-\u20E0\u20E2-\u20E4\uA670-\uA672\uA802\uA80B\uA825\uA826\uA8C5\uA8FF\uA926-\uA92A\uA947-\uA951\uA980-\uA982\uA9B6-\uA9B9\uA9BC\uA9BD\uA9E5\uAA29-\uAA2E\uAA31\uAA32\uAA35\uAA36\uAA43\uAA4C\uAA7C\uAAEC\uAAED\uABE5\uABE8\uFE00-\uFE0F\uFF9E\uFF9F\U00010A01-\U00010A03\U00010A05\U00010A06\U00010A0C\U00010A0E\U00011001\U00011038-\U00011045\U00011073\U00011074\U00011080\U00011081\U000110B3-\U000110B6\U000110C2\U00011127-\U0001112B\U0001112D-\U00011132\U00011180\U00011181\U000111B6-\U000111BE\U000111C9\U000111CB\U000111CC\U000111CF\U0001122F-\U00011231\U00011234\U00011237\U0001123E\U00011241\U000112DF\U000112E3-\U000112E8\U00011300\U00011301\U0001133E\U00011340\U00011357\U00011438-\U0001143F\U00011443\U00011444\U000114B0\U000114B3-\U000114B8\U000114BA\U000114BD\U000114BF\U000114C0\U000115AF\U000115B2-\U000115B5\U000115BC\U000115BD\U000115DC\U000115DD\U00011633-\U0001163A\U0001163D\U00011640\U000116AB\U000116AD\U000116B0-\U000116B5\U0001171D-\U0001171F\U00011722-\U00011725\U00011727-\U0001172A\U0001182F-\U00011837\U00011930\U0001193B\U0001193C\U000119D4-\U000119D7\U000119DA\U000119DB\U00011A01-\U00011A0A\U00011A33\U00011A35-\U00011A38\U00011A3B-\U00011A3E\U00011A51-\U00011A56\U00011A59-\U00011A5B\U00011A8A-\U00011A96\U00011A98\U00011C30-\U00011C36\U00011C38-\U00011C3D\U00011C92-\U00011CA7\U00011CAA-\U00011CB0\U00011CB2\U00011CB3\U00011CB5\U00011CB6\U00011D31-\U00011D36\U00011D3A\U00011D3C\U00011D3D\U00011D3F-\U00011D41\U00011D43\U00011D47\U00011D90\U00011D91\U00011D95\U00011EF3\U00011EF4\U00011F00\U00011F01\U00011F36-\U00011F3A\U00011F40\U00013440\U00013447-\U00013455\U00016F4F\U00016F8F-\U00016F92\U00016FE4\U0001BC9D\U0001CF00-\U0001CF2D\U0001CF30-\U0001CF46\U0001DA00-\U0001DA36\U0001DA3B-\U0001DA6C\U0001DA75\U0001DA84\U0001DA9B-\U0001DA9F\U0001DAA1-\U0001DAAF\U0001F3FB-\U0001F3FF\U000E0020-\U000E007F\U000E0100-\U000E01EF]]
Prepend ; [\p{Grapheme_Cluster_Break=Prepend}]
SpacingMark ; [\p{Grapheme_Cluster_Break=SpacingMark}]
LinkingConsonant ; [\p{Indic_Conjunct_Break=Consonant}]
Extend_ConjunctLinker ; [\p{Grapheme_Cluster_Break=Extend}&\p{Indic_Conjunct_Break=Linker}]
L ; [\p{Grapheme_Cluster_Break=L}]
V ; [\p{Grapheme_Cluster_Break=V}]
T ; [\p{Grapheme_Cluster_Break=T}]
ZWJ ; [\p{Grapheme_Cluster_Break=ZWJ}]
LV ; [\p{Grapheme_Cluster_Break=LV}]
LVT ; [\p{Grapheme_Cluster_Break=LVT}]
RI ; [\p{Grapheme_Cluster_Break=Regional_Indicator}]
