# From state ; class name or eot ; to state
START ; sot ; sot
sot sot ; eot ; sot eot
sot sot ; XX ; sot XX
sot sot ; Sp ; sot XX
sot sot ; LF ; sot eot
sot sot ; CR ; sot CR
sot sot ; STerm ; sot STerm
sot sot ; Close ; sot XX
sot sot ; SContinue ; sot XX
sot sot ; ATerm ; sot ATerm
sot sot ; Numeric ; sot XX
sot sot ; Upper ; sot Upper
sot sot ; Lower ; sot Upper
sot sot ; Sep ; sot eot
sot sot ; Extend|Format ; sot XX
sot sot ; OLetter ; sot XX
sot ATerm XX ; XX ; sot ATerm XX
sot ATerm XX ; Sp ; sot ATerm XX
sot ATerm XX ; Close ; sot ATerm XX
sot ATerm XX ; SContinue ; sot ATerm XX
sot ATerm XX ; Numeric ; sot ATerm XX
sot ATerm XX ; Lower ; sot Upper
sot ATerm XX ; Extend|Format ; sot ATerm XX
sot ; eot ; sot eot
sot ; sot ; sot sot
sot ; XX ; sot XX
sot ; Sp ; sot XX
sot ; LF ; sot eot
sot ; CR ; sot CR
sot ; STerm ; sot STerm
sot ; Close ; sot XX
sot ; SContinue ; sot XX
sot ; ATerm ; sot ATerm
sot ; Numeric ; sot XX
sot ; Upper ; sot Upper
sot ; Lower ; sot Upper
sot ; Sep ; sot eot
sot ; Extend|Format ; sot XX
sot ; OLetter ; sot XX
sot XX ; eot ; sot eot
sot XX ; XX ; sot XX
sot XX ; Sp ; sot XX
sot XX ; LF ; sot eot
sot XX ; CR ; sot CR
sot XX ; STerm ; sot STerm
sot XX ; Close ; sot XX
sot XX ; SContinue ; sot XX
sot XX ; ATerm ; sot ATerm
sot XX ; Numeric ; sot XX
sot XX ; Upper ; sot Upper
sot XX ; Lower ; sot Upper
sot XX ; Sep ; sot eot
sot XX ; Extend|Format ; sot XX
sot XX ; OLetter ; sot XX
sot Upper ; eot ; sot eot
sot Upper ; XX ; sot XX
sot Upper ; Sp ; sot XX
sot Upper ; LF ; sot eot
sot Upper ; CR ; sot CR
sot Upper ; STerm ; sot STerm
sot Upper ; Close ; sot XX
sot Upper ; SContinue ; sot XX
sot Upper ; ATerm ; sot Upper ATerm
sot Upper ; Numeric ; sot XX
sot Upper ; Upper ; sot Upper
sot Upper ; Lower ; sot Upper
sot Upper ; Sep ; sot eot
sot Upper ; Extend|Format ; sot Upper
sot Upper ; OLetter ; sot XX
sot STerm ; Sp ; sot STerm Sp
sot STerm ; LF ; sot STerm LF
sot STerm ; CR ; sot STerm CR
sot STerm ; STerm ; sot STerm
sot STerm ; Close ; sot STerm
sot STerm ; SContinue ; sot XX
sot STerm ; ATerm ; sot ATerm
sot STerm ; Sep ; sot STerm LF
sot STerm ; Extend|Format ; sot STerm
sot ATerm ; XX ; sot ATerm XX
sot ATerm ; Sp ; sot ATerm Sp
sot ATerm ; LF ; sot STerm LF
sot ATerm ; CR ; sot STerm CR
sot ATerm ; STerm ; sot STerm
sot ATerm ; Close ; sot ATerm Close
sot ATerm ; SContinue ; sot XX
sot ATerm ; ATerm ; sot ATerm
sot ATerm ; Numeric ; sot XX
sot ATerm ; Lower ; sot Upper
sot ATerm ; Sep ; sot STerm LF
sot ATerm ; Extend|Format ; sot ATerm
sot STerm Sp ; Sp ; sot STerm Sp
sot STerm Sp ; LF ; sot STerm LF
sot STerm Sp ; CR ; sot STerm CR
sot STerm Sp ; STerm ; sot STerm
sot STerm Sp ; SContinue ; sot XX
sot STerm Sp ; ATerm ; sot ATerm
sot STerm Sp ; Sep ; sot STerm LF
sot STerm Sp ; Extend|Format ; sot STerm Sp
sot STerm CR ; LF ; sot STerm LF
sot ATerm Sp ; XX ; sot ATerm XX
sot ATerm Sp ; Sp ; sot ATerm Sp
sot ATerm Sp ; LF ; sot STerm LF
sot ATerm Sp ; CR ; sot STerm CR
sot ATerm Sp ; STerm ; sot STerm
sot ATerm Sp ; Close ; sot ATerm XX
sot ATerm Sp ; SContinue ; sot XX
sot ATerm Sp ; ATerm ; sot ATerm
sot ATerm Sp ; Numeric ; sot ATerm XX
sot ATerm Sp ; Lower ; sot Upper
sot ATerm Sp ; Sep ; sot STerm LF
sot ATerm Sp ; Extend|Format ; sot ATerm Sp
sot ATerm Close ; XX ; sot ATerm XX
sot ATerm Close ; Sp ; sot ATerm Sp
sot ATerm Close ; LF ; sot STerm LF
sot ATerm Close ; CR ; sot STerm CR
sot ATerm Close ; STerm ; sot STerm
sot ATerm Close ; Close ; sot ATerm Close
sot ATerm Close ; SContinue ; sot XX
sot ATerm Close ; ATerm ; sot ATerm
sot ATerm Close ; Numeric ; sot ATerm XX
sot ATerm Close ; Lower ; sot Upper
sot ATerm Close ; Sep ; sot STerm LF
sot ATerm Close ; Extend|Format ; sot ATerm Close
sot Upper ATerm ; XX ; sot ATerm XX
sot Upper ATerm ; Sp ; sot ATerm Sp
sot Upper ATerm ; LF ; sot STerm LF
sot Upper ATerm ; CR ; sot STerm CR
sot Upper ATerm ; STerm ; sot STerm
sot Upper ATerm ; Close ; sot ATerm Close
sot Upper ATerm ; SContinue ; sot XX
sot Upper ATerm ; ATerm ; sot ATerm
sot Upper ATerm ; Numeric ; sot XX
sot Upper ATerm ; Upper ; sot Upper
sot Upper ATerm ; Lower ; sot Upper
sot Upper ATerm ; Sep ; sot STerm LF
sot Upper ATerm ; Extend|Format ; sot Upper ATerm
sot CR ; LF ; sot eot
