# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
START ; No ;  ; 
Numeric Single_Quote ; No ;  ; 
UNIDENTIFIED-13 Single_Quote ; No ;  ; 
Hebrew_Letter Double_Quote ; No ;  ; 
UNIDENTIFIED-3 ; Yes ;  ; 
LF ; Yes ;  ; 
CR ; Yes ;  ; 
WSegSpace ; Yes ;  ; 
ExtendNumLet ; Yes ;  ; 
ZWJ ; Yes ;  ; 
RI ; Yes ;  ; 
UNIDENTIFIED-26 ; Yes ;  ; 
ExtendNumLet ZWJ ; Yes ;  ; 
RI ZWJ ; Yes ;  ; 
Hebrew_Letter Single_Quote UNIDENTIFIED-16 ; Yes ;  ; 
Hebrew_Letter Single_Quote ZWJ ; Yes ;  ; 
Numeric ; Yes ;  ; Number
Numeric ExtendNumLet ; Yes ;  ; Number
Numeric ZWJ ; Yes ;  ; Number
UNIDENTIFIED-13 ; Yes ;  ; Letter
Hebrew_Letter ; Yes ;  ; Letter
UNIDENTIFIED-29 ; Yes ;  ; Letter
UNIDENTIFIED-13 ExtendNumLet ; Yes ;  ; Letter
UNIDENTIFIED-13 ZWJ ; Yes ;  ; Letter
Hebrew_Letter Single_Quote ; Yes ;  ; Letter
Hebrew_Letter ZWJ ; Yes ;  ; Letter
UNIDENTIFIED-21 ; Yes ;  ; Letter
UNIDENTIFIED-27 ; Yes ;  ; Letter
Katakana ; Yes ;  ; Letter
ExtendNumLet UNIDENTIFIED-22 ; Yes ;  ; Letter
UNIDENTIFIED-21 ZWJ ; Yes ;  ; Letter
RI UNIDENTIFIED-22 ; Yes ;  ; Letter
UNIDENTIFIED-26 UNIDENTIFIED-26 ; Yes ;  ; Letter
Katakana ExtendNumLet ; Yes ;  ; Letter
Katakana UNIDENTIFIED-16 ; Yes ;  ; Letter
Katakana ZWJ ; Yes ;  ; Letter
ExtendNumLet UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
Hebrew_Letter Single_Quote UNIDENTIFIED-22 ; Yes ;  ; Letter
RI UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
Hebrew_Letter Single_Quote UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
Numeric UNIDENTIFIED-22 ; Yes ;  ; Letter
Numeric UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
UNIDENTIFIED-13 UNIDENTIFIED-22 ; Yes ;  ; Letter
Hebrew_Letter UNIDENTIFIED-22 ; Yes ;  ; Letter
UNIDENTIFIED-13 UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
Hebrew_Letter UNIDENTIFIED-22 ZWJ ; Yes ;  ; Letter
