# From state ; class name or eot ; to state
START ; UNIDENTIFIED-3 ; UNIDENTIFIED-3
START ; LF ; LF
START ; Newline ; LF
START ; CR ; CR
START ; WSegSpace ; WSegSpace
START ; Double_Quote ; UNIDENTIFIED-3
START ; Single_Quote ; UNIDENTIFIED-3
START ; MidNum ; UNIDENTIFIED-3
START ; MidNumLet ; UNIDENTIFIED-3
START ; Numeric ; Numeric
START ; UNIDENTIFIED-13 ; UNIDENTIFIED-13
START ; ExtendNumLet ; ExtendNumLet
START ; ExtPictmALetter ; UNIDENTIFIED-3
START ; UNIDENTIFIED-16 ; UNIDENTIFIED-3
START ; UNIDENTIFIED-17 ; UNIDENTIFIED-3
START ; Hebrew_Letter ; Hebrew_Letter
START ; ZWJ ; ZWJ
START ; ALetter_ExtPict ; UNIDENTIFIED-13
START ; UNIDENTIFIED-21 ; UNIDENTIFIED-21
START ; UNIDENTIFIED-22 ; UNIDENTIFIED-21
START ; RI ; RI
START ; UNIDENTIFIED-24 ; UNIDENTIFIED-13
START ; UNIDENTIFIED-25 ; UNIDENTIFIED-3
START ; UNIDENTIFIED-26 ; UNIDENTIFIED-26
START ; UNIDENTIFIED-27 ; UNIDENTIFIED-27
START ; Katakana ; Katakana
START ; UNIDENTIFIED-29 ; UNIDENTIFIED-29
Numeric Single_Quote ; Numeric ; Numeric
Numeric Single_Quote ; UNIDENTIFIED-16 ; Numeric Single_Quote
Numeric Single_Quote ; ZWJ ; Numeric Single_Quote
Numeric Single_Quote ; UNIDENTIFIED-22 ; Numeric Single_Quote
Numeric Single_Quote ; UNIDENTIFIED-25 ; Numeric Single_Quote
UNIDENTIFIED-13 Single_Quote ; UNIDENTIFIED-13 ; UNIDENTIFIED-13
UNIDENTIFIED-13 Single_Quote ; UNIDENTIFIED-16 ; UNIDENTIFIED-13 Single_Quote
UNIDENTIFIED-13 Single_Quote ; Hebrew_Letter ; Hebrew_Letter
UNIDENTIFIED-13 Single_Quote ; ZWJ ; UNIDENTIFIED-13 Single_Quote
UNIDENTIFIED-13 Single_Quote ; ALetter_ExtPict ; UNIDENTIFIED-13
UNIDENTIFIED-13 Single_Quote ; UNIDENTIFIED-22 ; UNIDENTIFIED-13 Single_Quote
UNIDENTIFIED-13 Single_Quote ; UNIDENTIFIED-24 ; UNIDENTIFIED-13
UNIDENTIFIED-13 Single_Quote ; UNIDENTIFIED-25 ; UNIDENTIFIED-13 Single_Quote
Hebrew_Letter Double_Quote ; UNIDENTIFIED-16 ; Hebrew_Letter Double_Quote
Hebrew_Letter Double_Quote ; Hebrew_Letter ; Hebrew_Letter
Hebrew_Letter Double_Quote ; ZWJ ; Hebrew_Letter Double_Quote
Hebrew_Letter Double_Quote ; UNIDENTIFIED-22 ; Hebrew_Letter Double_Quote
Hebrew_Letter Double_Quote ; UNIDENTIFIED-25 ; Hebrew_Letter Double_Quote
UNIDENTIFIED-3 ; UNIDENTIFIED-16 ; UNIDENTIFIED-3
UNIDENTIFIED-3 ; ZWJ ; ZWJ
UNIDENTIFIED-3 ; UNIDENTIFIED-22 ; UNIDENTIFIED-21
UNIDENTIFIED-3 ; UNIDENTIFIED-25 ; UNIDENTIFIED-3
CR ; LF ; LF
WSegSpace ; WSegSpace ; WSegSpace
WSegSpace ; UNIDENTIFIED-16 ; UNIDENTIFIED-3
WSegSpace ; ZWJ ; ZWJ
WSegSpace ; UNIDENTIFIED-22 ; UNIDENTIFIED-21
WSegSpace ; UNIDENTIFIED-25 ; UNIDENTIFIED-3
ExtendNumLet ; Numeric ; Numeric
ExtendNumLet ; UNIDENTIFIED-13 ; UNIDENTIFIED-13
ExtendNumLet ; ExtendNumLet ; UNIDENTIFIED-13 ExtendNumLet
ExtendNumLet ; UNIDENTIFIED-16 ; ExtendNumLet
ExtendNumLet ; Hebrew_Letter ; Hebrew_Letter
ExtendNumLet ; ZWJ ; ExtendNumLet ZWJ
ExtendNumLet ; ALetter_ExtPict ; UNIDENTIFIED-13
ExtendNumLet ; UNIDENTIFIED-22 ; ExtendNumLet UNIDENTIFIED-22
ExtendNumLet ; UNIDENTIFIED-24 ; UNIDENTIFIED-13
ExtendNumLet ; UNIDENTIFIED-25 ; ExtendNumLet
ExtendNumLet ; Katakana ; Katakana
ZWJ ; ExtPictmALetter ; UNIDENTIFIED-3
ZWJ ; UNIDENTIFIED-16 ; UNIDENTIFIED-3
ZWJ ; ZWJ ; ZWJ
ZWJ ; ALetter_ExtPict ; UNIDENTIFIED-13
ZWJ ; UNIDENTIFIED-22 ; UNIDENTIFIED-21
ZWJ ; UNIDENTIFIED-25 ; UNIDENTIFIED-3
RI ; UNIDENTIFIED-16 ; RI
RI ; ZWJ ; RI ZWJ
RI ; UNIDENTIFIED-22 ; RI UNIDENTIFIED-22
RI ; RI ; UNIDENTIFIED-3
