# From state ; symbol ; to state
START ; t|u|v|w|whatever ; whatever
START ; 1 ; whatever
START ; 2 ; whatever
START ; 3 ; whatever
START ; x ; x
START ; y ; whatever
START ; z ; whatever
whatever ; t|u|v|w|whatever ; whatever
whatever ; 1 ; whatever
whatever ; 2 ; whatever
whatever ; 3 ; whatever
whatever ; x ; whatever
whatever ; y ; whatever
whatever ; z ; whatever
x ; t|u|v|w|whatever ; whatever
x ; 1 ; whatever
x ; 2 ; whatever
x ; 3 ; whatever
x ; x ; whatever
x ; y ; x y
x ; z ; whatever
x y ; t|u|v|w|whatever ; whatever
x y ; 1 ; whatever
x y ; 2 ; whatever
x y ; 3 ; whatever
x y ; x ; whatever
x y ; y ; whatever
x y ; z ; x y z
x y z ; t|u|v|w|whatever ; whatever
x y z ; 1 ; x y z 1
x y z ; 2 ; x y z 2
x y z ; 3 ; x y z 3
x y z ; x ; whatever
x y z ; y ; whatever
x y z ; z ; whatever
x y z 1 ; t|u|v|w|whatever ; whatever
x y z 1 ; 1 ; whatever
x y z 1 ; 2 ; whatever
x y z 1 ; 3 ; whatever
x y z 1 ; x ; whatever
x y z 1 ; y ; whatever
x y z 1 ; z ; whatever
x y z 2 ; t|u|v|w|whatever ; whatever
x y z 2 ; 1 ; whatever
x y z 2 ; 2 ; whatever
x y z 2 ; 3 ; whatever
x y z 2 ; x ; whatever
x y z 2 ; y ; whatever
x y z 2 ; z ; whatever
x y z 3 ; t|u|v|w|whatever ; whatever
x y z 3 ; 1 ; whatever
x y z 3 ; 2 ; whatever
x y z 3 ; 3 ; whatever
x y z 3 ; x ; whatever
x y z 3 ; y ; whatever
x y z 3 ; z ; whatever
